# id	claim in plain words	check (must exit 0)
# One rule per line, three columns separated by a TAB. Lines starting with # are ignored.
# These are examples. Change the numbers, delete rows that do not fit you, add your own with:
#   npx metacognition add "<claim in plain words>" "<check command>"
# Checks run with stdin closed and a 20 second limit. "the repo you are standing in" means the
# current directory; the timer runs from your home folder, so those rows only bite when you
# run the watchdog by hand inside a project.
# RULES_FILE below finds whichever instructions file your agent reads: CLAUDE.md for Claude Code,
# AGENTS.md for Codex and others, .cursorrules for Cursor, GEMINI.md for Gemini CLI.
# In the secret patterns, letters in [brackets] stop this file from matching its own rows.
rules-file-exists	an instructions file exists, so there are rules to measure	ls ~/.claude/CLAUDE.md ~/AGENTS.md ~/.cursorrules ~/.gemini/GEMINI.md ./CLAUDE.md ./AGENTS.md ./.cursorrules 2>/dev/null | grep -q .
rules-file-short	your instructions file is under 2.5 KB, because a long one gets skimmed instead of followed	for f in ~/.claude/CLAUDE.md ~/AGENTS.md ~/.cursorrules ~/.gemini/GEMINI.md ./CLAUDE.md ./AGENTS.md; do [ -f "$f" ] && [ "$(wc -c < "$f")" -ge 2500 ] && exit 1; done; exit 0
rules-file-no-model-name	your instructions do not pin a model name, because names go out of date	for f in ~/.claude/CLAUDE.md ~/AGENTS.md ~/.cursorrules ~/.gemini/GEMINI.md ./CLAUDE.md ./AGENTS.md; do [ -f "$f" ] && grep -qiE "(opus|sonnet|haiku)[ -]?[0-9]|gpt-[0-9]|gemini-[0-9]|claude-[a-z]+-[0-9]|o[0-9]-(mini|preview)" "$f" && exit 1; done; exit 0
settings-valid-json	every agent settings file on this machine is valid JSON, because a broken one drops its hooks in silence	for f in ~/.claude/settings.json ~/.codex/config.json ~/.cursor/settings.json; do [ -f "$f" ] && ! node -e 'JSON.parse(require("fs").readFileSync(process.argv[1],"utf8"))' "$f" && exit 1; done; exit 0
hooks-exist	every hook command in your settings points at a script that is really on disk	node -e 'const fs=require("fs"),f=process.env.HOME+"/.claude/settings.json";if(!fs.existsSync(f))process.exit(0);const s=JSON.parse(fs.readFileSync(f,"utf8"));const bad=[];for(const list of Object.values(s.hooks||{}))for(const m of (Array.isArray(list)?list:[]))for(const h of m.hooks||[])for(const x of (h.command||"").matchAll(/(?:^|[\s"=])((?:~|\/)[^\s"]+\.(?:sh|m?js|cjs|py))/g)){const p=x[1].replace(/^~/,process.env.HOME);if(!fs.existsSync(p))bad.push(p)}if(bad.length){console.error("missing: "+bad.join(", "));process.exit(1)}'
no-secrets-in-rules	no API-key-shaped string sits in your instructions or settings files	! grep -qE 's[k]-[A-Za-z0-9]{20,}|gh[p]_[A-Za-z0-9]{30,}|AK[I]A[A-Z0-9]{16}|AI[z]a[A-Za-z0-9_-]{30,}|BEGIN (RSA |EC |OPENSSH )?PRIVATE KEY' ~/.claude/CLAUDE.md ~/AGENTS.md ~/.cursorrules ~/.claude/settings.json ./CLAUDE.md ./AGENTS.md 2>/dev/null
settings-no-plaintext-keys	no settings file holds a long KEY, TOKEN, SECRET or PASSWORD value, because those belong in the keychain	for f in ~/.claude/settings.json ~/.codex/config.json ~/.cursor/settings.json; do [ -f "$f" ] && grep -qE '"[A-Za-z_]*(KEY|TOKEN|SECRET|PASSWORD)[A-Za-z_]*" *: *"[^"]{16,}"' "$f" && exit 1; done; exit 0
memory-index	a memory folder that holds notes also has an index file that is not empty	for d in ~/.claude/projects/*/memory; do [ -d "$d" ] || continue; n=$(ls "$d"/*.md 2>/dev/null | grep -vc '/MEMORY\.md$'); [ "$n" -eq 0 ] || [ -s "$d/MEMORY.md" ] || exit 1; done
memory-links-resolve	every link in the memory index points at a file that exists, because a dead link is a lost memory	for d in ~/.claude/projects/*/memory; do [ -f "$d/MEMORY.md" ] || continue; for f in $(grep -oE '\]\([^)]+\.md\)' "$d/MEMORY.md" | sed 's/^](//; s/)$//'); do [ -f "$d/$f" ] || exit 1; done; done
no-debug-statements	no console.log or print debugging left in src/ of the repo you are standing in	! git rev-parse --is-inside-work-tree >/dev/null 2>&1 || ! git grep -qE 'console\.log\(|^\s*print\(' -- 'src/*.js' 'src/*.ts' 'src/*.jsx' 'src/*.tsx' 'src/*.mjs' 'src/*.py'
no-conflict-markers	no leftover merge-conflict markers in the repo you are standing in	! git rev-parse --is-inside-work-tree >/dev/null 2>&1 || ! git grep -qE '^(<<<<<<< |>>>>>>> )'
